//E[eV]	TM backward elastic factor
0.005	1.48654
0.00616471	1.48481
0.00732941	1.48319
0.00849412	1.48165
0.00965882	1.48017
0.0108235	1.47875
0.0119882	1.47736
0.0131529	1.476
0.0143176	1.47467
0.0154824	1.47337
0.0166471	1.47208
0.0178118	1.47081
0.0189765	1.46956
0.0201412	1.46831
0.0213059	1.46708
0.0224706	1.46585
0.0236353	1.46463
0.0248	1.46341
0.0259647	1.4622
0.0271294	1.46099
0.0282941	1.45979
0.0294588	1.45858
0.0306235	1.45738
0.0317882	1.45618
0.0329529	1.45497
0.0341176	1.45376
0.0352824	1.45255
0.0364471	1.45134
0.0376118	1.45012
0.0387765	1.4489
0.0399412	1.44768
0.0411059	1.44645
0.0422706	1.44521
0.0434353	1.44397
0.0446	1.44272
0.0457647	1.44147
0.0469294	1.44021
0.0480941	1.43894
0.0492588	1.43766
0.0504235	1.43637
0.0515882	1.43508
0.0527529	1.43377
0.0539176	1.43246
0.0550824	1.43114
0.0562471	1.4298
0.0574118	1.42845
0.0585765	1.4271
0.0597412	1.42573
0.0609059	1.42434
0.0620706	1.42295
0.0632353	1.42154
0.0644	1.42012
0.0655647	1.41869
0.0667294	1.41724
0.0678941	1.41577
0.0690588	1.41429
0.0702235	1.4128
0.0713882	1.41129
0.0725529	1.40976
0.0737176	1.40822
0.0748824	1.40665
0.0760471	1.40507
0.0772118	1.40347
0.0783765	1.40186
0.0795412	1.40022
0.0807059	1.39856
0.0818706	1.39688
0.0830353	1.39518
0.0842	1.39346
0.0853647	1.39172
0.0865294	1.38995
0.0876941	1.38816
0.0888588	1.38635
0.0900235	1.38451
0.0911882	1.38265
0.0923529	1.38076
0.0935176	1.37885
0.0946824	1.3769
0.0958471	1.37493
0.0970118	1.37293
0.0981765	1.37091
0.0993412	1.36885
0.100506	1.36676
0.101671	1.36464
0.102835	1.36249
0.104	1.3603
0.105165	1.35808
0.106329	1.35583
0.107494	1.35354
0.108659	1.35122
0.109824	1.34886
0.110988	1.34646
0.112153	1.34402
0.113318	1.34155
0.114482	1.33903
0.115647	1.33648
0.116812	1.33388
0.117976	1.33124
0.119141	1.32856
0.120306	1.32583
0.121471	1.32306
0.122635	1.32025
0.1238	1.31739
0.124965	1.31448
0.126129	1.31153
0.127294	1.30853
0.128459	1.30549
0.129624	1.30239
0.130788	1.29925
0.131953	1.29606
0.133118	1.29282
0.134282	1.28954
0.135447	1.28621
0.136612	1.28283
0.137776	1.27941
0.138941	1.27595
0.140106	1.27244
0.141271	1.26889
0.142435	1.2653
0.1436	1.26168
0.144765	1.25802
0.145929	1.25434
0.147094	1.25063
0.148259	1.2469
0.149424	1.24316
0.150588	1.23941
0.151753	1.23567
0.152918	1.23193
0.154082	1.22821
0.155247	1.22453
0.156412	1.22088
0.157576	1.2173
0.158741	1.21379
0.159906	1.21037
0.161071	1.20706
0.162235	1.20389
0.1634	1.20088
0.164565	1.19806
0.165729	1.19545
0.166894	1.19309
0.168059	1.19102
0.169224	1.18928
0.170388	1.1879
0.171553	1.18694
0.172718	1.18645
0.173882	1.18648
0.175047	1.18707
0.176212	1.1883
0.177376	1.19022
0.178541	1.1929
0.179706	1.19639
0.180871	1.20075
0.182035	1.20605
0.1832	1.21234
0.184365	1.21967
0.185529	1.22808
0.186694	1.23761
0.187859	1.24827
0.189024	1.26009
0.190188	1.27305
0.191353	1.28713
0.192518	1.30229
0.193682	1.31847
0.194847	1.33559
0.196012	1.35356
0.197176	1.37227
0.198341	1.39158
0.199506	1.41137
0.200671	1.43147
0.201835	1.45173
0.203	1.47201
0.204165	1.49215
0.205329	1.512
0.206494	1.53142
0.207659	1.55029
0.208824	1.56851
0.209988	1.58597
0.211153	1.6026
0.212318	1.61834
0.213482	1.63315
0.214647	1.64699
0.215812	1.65986
0.216976	1.67174
0.218141	1.68266
0.219306	1.69264
0.220471	1.70169
0.221635	1.70986
0.2228	1.71718
0.223965	1.72371
0.225129	1.72947
0.226294	1.73453
0.227459	1.73892
0.228624	1.74269
0.229788	1.7459
0.230953	1.74857
0.232118	1.75076
0.233282	1.7525
0.234447	1.75383
0.235612	1.75479
0.236776	1.75542
0.237941	1.75573
0.239106	1.75577
0.240271	1.72949
0.241435	1.7273
0.2426	1.72503
0.243765	1.72268
0.244929	1.72028
