//E[eV]	TM backward resonance factor
10.85	1.75955
10.8543	1.75958
10.8585	1.75962
10.8628	1.75965
10.8671	1.75968
10.8714	1.75972
10.8756	1.75975
10.8799	1.75978
10.8842	1.75981
10.8884	1.75985
10.8927	1.75988
10.897	1.75991
10.9013	1.75994
10.9055	1.75998
10.9098	1.76001
10.9141	1.76004
10.9183	1.76007
10.9226	1.76011
10.9269	1.76014
10.9312	1.76017
10.9354	1.7602
10.9397	1.76024
10.944	1.76027
10.9482	1.7603
10.9525	1.76033
10.9568	1.76037
10.9611	1.7604
10.9653	1.76043
10.9696	1.76046
10.9739	1.7605
10.9781	1.76053
10.9824	1.76056
10.9867	1.76059
10.991	1.76063
10.9952	1.76066
10.9995	1.76069
11.0038	1.76072
11.008	1.76076
11.0123	1.76079
11.0166	1.76082
11.0209	1.76085
11.0251	1.76089
11.0294	1.76092
11.0337	1.76095
11.0379	1.76098
11.0422	1.76102
11.0465	1.76105
11.0508	1.76108
11.055	1.76111
11.0593	1.76114
11.0636	1.76118
11.0678	1.76121
11.0721	1.76124
11.0764	1.76127
11.0807	1.7613
11.0849	1.76134
11.0892	1.76137
11.0935	1.7614
11.0977	1.76143
11.102	1.76146
11.1063	1.7615
11.1106	1.76153
11.1148	1.76156
11.1191	1.76159
11.1234	1.76162
11.1276	1.76165
11.1319	1.76169
11.1362	1.76172
11.1405	1.76175
11.1447	1.76178
11.149	1.76181
11.1533	1.76184
11.1575	1.76187
11.1618	1.76191
11.1661	1.76194
11.1704	1.76197
11.1746	1.762
11.1789	1.76203
11.1832	1.76206
11.1874	1.76209
11.1917	1.76212
11.196	1.76215
11.2003	1.76219
11.2045	1.76222
11.2088	1.76225
11.2131	1.76228
11.2173	1.76231
11.2216	1.76234
11.2259	1.76237
11.2302	1.7624
11.2344	1.76243
11.2387	1.76246
11.243	1.76249
11.2472	1.76252
11.2515	1.76255
11.2558	1.76258
11.2601	1.76261
11.2643	1.76264
11.2686	1.76267
11.2729	1.7627
11.2771	1.76273
11.2814	1.76276
11.2857	1.76279
11.2899	1.76282
11.2942	1.76285
11.2985	1.76288
11.3028	1.76291
11.307	1.76293
11.3113	1.76296
11.3156	1.76299
11.3198	1.76302
11.3241	1.76305
11.3284	1.76308
11.3327	1.76311
11.3369	1.76314
11.3412	1.76316
11.3455	1.76319
11.3497	1.76322
11.354	1.76325
11.3583	1.76328
11.3626	1.7633
11.3668	1.76333
11.3711	1.76336
11.3754	1.76339
11.3796	1.76341
11.3839	1.76344
11.3882	1.76347
11.3925	1.76349
11.3967	1.76352
11.401	1.76355
11.4053	1.76358
11.4095	1.7636
11.4138	1.76363
11.4181	1.76365
11.4224	1.76368
11.4266	1.76371
11.4309	1.76373
11.4352	1.76376
11.4394	1.76378
11.4437	1.76381
11.448	1.76383
11.4523	1.76386
11.4565	1.76388
11.4608	1.76391
11.4651	1.76393
11.4693	1.76396
11.4736	1.76398
11.4779	1.76401
11.4822	1.76403
11.4864	1.76406
11.4907	1.76408
11.495	1.7641
11.4992	1.76413
11.5035	1.76415
11.5078	1.76417
11.5121	1.7642
11.5163	1.76422
11.5206	1.76424
11.5249	1.76426
11.5291	1.76429
11.5334	1.76431
11.5377	1.76433
11.542	1.76435
11.5462	1.76437
11.5505	1.7644
11.5548	1.76442
11.559	1.76444
11.5633	1.76446
11.5676	1.76448
11.5719	1.7645
11.5761	1.76452
11.5804	1.76454
11.5847	1.76456
11.5889	1.76458
11.5932	1.7646
11.5975	1.76462
11.6018	1.76464
11.606	1.76466
11.6103	1.76468
11.6146	1.76469
11.6188	1.76471
11.6231	1.76473
11.6274	1.76475
11.6317	1.76477
11.6359	1.76478
11.6402	1.7648
11.6445	1.76482
11.6487	1.76483
11.653	1.76485
11.6573	1.76487
11.6616	1.76488
11.6658	1.7649
11.6701	1.76491
11.6744	1.76493
11.6786	1.76494
11.6829	1.76496
11.6872	1.76497
11.6915	1.76499
11.6957	1.765
11.7	1.76501
