//E[eV]	TM forward elastic factor
0.005	0.475029
0.00616471	0.472004
0.00732941	0.469201
0.00849412	0.46657
0.00965882	0.464073
0.0108235	0.461688
0.0119882	0.459395
0.0131529	0.457182
0.0143176	0.455036
0.0154824	0.452951
0.0166471	0.450918
0.0178118	0.448932
0.0189765	0.446988
0.0201412	0.445083
0.0213059	0.443211
0.0224706	0.441372
0.0236353	0.439561
0.0248	0.437777
0.0259647	0.436017
0.0271294	0.43428
0.0282941	0.432565
0.0294588	0.430869
0.0306235	0.429191
0.0317882	0.42753
0.0329529	0.425886
0.0341176	0.424257
0.0352824	0.422642
0.0364471	0.42104
0.0376118	0.419451
0.0387765	0.417875
0.0399412	0.416309
0.0411059	0.414755
0.0422706	0.41321
0.0434353	0.411676
0.0446	0.410151
0.0457647	0.408634
0.0469294	0.407126
0.0480941	0.405626
0.0492588	0.404134
0.0504235	0.402649
0.0515882	0.401171
0.0527529	0.3997
0.0539176	0.398235
0.0550824	0.396776
0.0562471	0.395323
0.0574118	0.393876
0.0585765	0.392435
0.0597412	0.390998
0.0609059	0.389567
0.0620706	0.388141
0.0632353	0.386719
0.0644	0.385301
0.0655647	0.383888
0.0667294	0.38248
0.0678941	0.381075
0.0690588	0.379674
0.0702235	0.378277
0.0713882	0.376883
0.0725529	0.375493
0.0737176	0.374107
0.0748824	0.372723
0.0760471	0.371343
0.0772118	0.369966
0.0783765	0.368592
0.0795412	0.367221
0.0807059	0.365852
0.0818706	0.364486
0.0830353	0.363123
0.0842	0.361763
0.0853647	0.360404
0.0865294	0.359049
0.0876941	0.357695
0.0888588	0.356344
0.0900235	0.354995
0.0911882	0.353649
0.0923529	0.352304
0.0935176	0.350961
0.0946824	0.349621
0.0958471	0.348282
0.0970118	0.346945
0.0981765	0.345611
0.0993412	0.344278
0.100506	0.342946
0.101671	0.341617
0.102835	0.340289
0.104	0.338963
0.105165	0.337638
0.106329	0.336315
0.107494	0.334994
0.108659	0.333674
0.109824	0.332356
0.110988	0.331039
0.112153	0.329724
0.113318	0.32841
0.114482	0.327098
0.115647	0.325787
0.116812	0.324477
0.117976	0.323169
0.119141	0.321863
0.120306	0.320557
0.121471	0.319253
0.122635	0.317951
0.1238	0.316649
0.124965	0.315349
0.126129	0.314051
0.127294	0.312753
0.128459	0.311457
0.129624	0.310163
0.130788	0.308869
0.131953	0.307577
0.133118	0.306287
0.134282	0.304997
0.135447	0.303709
0.136612	0.302422
0.137776	0.301137
0.138941	0.299853
0.140106	0.29857
0.141271	0.297289
0.142435	0.296009
0.1436	0.29473
0.144765	0.293453
0.145929	0.292177
0.147094	0.290902
0.148259	0.289629
0.149424	0.288358
0.150588	0.287087
0.151753	0.285819
0.152918	0.284552
0.154082	0.283286
0.155247	0.282022
0.156412	0.280759
0.157576	0.279498
0.158741	0.278238
0.159906	0.27698
0.161071	0.275724
0.162235	0.274469
0.1634	0.273216
0.164565	0.271965
0.165729	0.270715
0.166894	0.269467
0.168059	0.268221
0.169224	0.266977
0.170388	0.265735
0.171553	0.264494
0.172718	0.263256
0.173882	0.262019
0.175047	0.260784
0.176212	0.259552
0.177376	0.258321
0.178541	0.257092
0.179706	0.255866
0.180871	0.254641
0.182035	0.253419
0.1832	0.252199
0.184365	0.250982
0.185529	0.249766
0.186694	0.248553
0.187859	0.247343
0.189024	0.246135
0.190188	0.244929
0.191353	0.243726
0.192518	0.242525
0.193682	0.241327
0.194847	0.240132
0.196012	0.238939
0.197176	0.23775
0.198341	0.236563
0.199506	0.235378
0.200671	0.234197
0.201835	0.233019
0.203	0.231844
0.204165	0.230671
0.205329	0.229502
0.206494	0.228337
0.207659	0.227174
0.208824	0.226015
0.209988	0.224859
0.211153	0.223706
0.212318	0.222557
0.213482	0.221411
0.214647	0.220269
0.215812	0.219131
0.216976	0.217996
0.218141	0.216866
0.219306	0.215739
0.220471	0.214616
0.221635	0.213497
0.2228	0.212381
0.223965	0.211271
0.225129	0.210164
0.226294	0.209061
0.227459	0.207963
0.228624	0.206869
0.229788	0.20578
0.230953	0.204695
0.232118	0.203615
0.233282	0.202539
0.234447	0.201468
0.235612	0.200402
0.236776	0.199341
0.237941	0.198285
0.239106	0.197234
0.240271	0.182894
0.241435	0.181655
0.2426	0.180425
0.243765	0.179202
0.244929	0.177988
0.246094	0.176783
0.247259	0.175587
0.248424	0.174401
0.249588	0.173224
0.250753	0.172055
0.251918	0.170897
0.253082	0.16975
0.254247	0.168614
0.255412	0.167488
0.256576	0.166373
0.257741	0.16527
0.258906	0.164178
0.260071	0.163098
0.261235	0.16203
0.2624	0.160975
0.263565	0.159933
0.264729	0.158903
0.265894	0.157887
0.267059	0.156884
0.268224	0.155896
0.269388	0.154921
0.270553	0.153961
0.271718	0.153016
0.272882	0.152085
0.274047	0.15117
0.275212	0.150271
0.276376	0.149388
0.277541	0.148521
0.278706	0.14767
0.279871	0.146836
0.281035	0.14602
0.2822	0.14522
0.283365	0.144439
0.284529	0.143676
0.285694	0.142931
0.286859	0.142204
0.288024	0.141497
0.289188	0.140809
0.290353	0.140138
0.291518	0.13949
0.292682	0.138861
0.293847	0.138254
0.295012	0.137667
0.296176	0.137101
0.297341	0.136557
0.298506	0.136034
0.299671	0.135534
0.300835	0.135056
0.302	0.1346
0.303165	0.134168
0.304329	0.133759
0.305494	0.133373
0.306659	0.133011
0.307824	0.132673
0.308988	0.13236
0.310153	0.132072
0.311318	0.131809
0.312482	0.13157
0.313647	0.131356
0.314812	0.131168
0.315976	0.131007
0.317141	0.130871
0.318306	0.130762
0.319471	0.130679
0.320635	0.130623
0.3218	0.130596
0.322965	0.130596
0.324129	0.130625
0.325294	0.130683
0.326459	0.13077
0.327624	0.130886
0.328788	0.131032
0.329953	0.131208
0.331118	0.131415
0.332282	0.131652
0.333447	0.13192
0.334612	0.13222
0.335776	0.132551
0.336941	0.132914
0.338106	0.133309
0.339271	0.133736
0.340435	0.134195
0.3416	0.134688
0.342765	0.135213
0.343929	0.135772
0.345094	0.136364
0.346259	0.136989
0.347424	0.137648
0.348588	0.138341
0.349753	0.139068
0.350918	0.139829
0.352082	0.140624
0.353247	0.141453
0.354412	0.142316
0.355576	0.143214
0.356741	0.144146
0.357906	0.145113
0.359071	0.146114
0.360235	0.14715
0.3614	0.14822
0.362565	0.149324
0.363729	0.150463
0.364894	0.151636
0.366059	0.152843
0.367224	0.154084
0.368388	0.155359
0.369553	0.156668
0.370718	0.158011
0.371882	0.159388
0.373047	0.160797
0.374212	0.16224
0.375376	0.163716
0.376541	0.165224
0.377706	0.166765
0.378871	0.168339
0.380035	0.169944
0.3812	0.171581
0.382365	0.173249
0.383529	0.174948
0.384694	0.176678
0.385859	0.178439
0.387024	0.180229
0.388188	0.182049
0.389353	0.183898
0.390518	0.185776
0.391682	0.187683
0.392847	0.189617
0.394012	0.191579
0.395176	0.193568
0.396341	0.195583
0.397506	0.197625
0.398671	0.199692
0.399835	0.201785
0.401	0.203902
0.402165	0.206043
0.403329	0.208208
0.404494	0.210396
0.405659	0.212606
0.406824	0.214838
0.407988	0.217092
0.409153	0.219366
0.410318	0.221639
0.411482	0.223858
0.412647	0.226094
0.413812	0.228347
0.414976	0.230617
0.416141	0.232903
0.417306	0.235205
0.418471	0.237522
0.419635	0.239853
0.4208	0.2422
0.421965	0.24456
0.423129	0.246933
0.424294	0.24932
0.425459	0.251719
0.426624	0.25413
0.427788	0.256553
0.428953	0.258987
0.430118	0.261432
0.431282	0.263887
0.432447	0.266352
0.433612	0.268826
0.434776	0.271309
0.435941	0.273801
0.437106	0.2763
0.438271	0.278808
0.439435	0.281322
0.4406	0.283843
0.441765	0.28637
0.442929	0.288903
0.444094	0.291442
0.445259	0.293985
0.446424	0.296533
0.447588	0.299085
0.448753	0.301641
0.449918	0.3042
0.451082	0.306762
0.452247	0.309327
0.453412	0.311894
0.454576	0.314462
0.455741	0.317031
0.456906	0.319602
0.458071	0.322173
0.459235	0.324744
0.4604	0.327314
0.461565	0.329885
0.462729	0.332454
0.463894	0.335022
0.465059	0.337588
0.466224	0.340152
0.467388	0.342713
0.468553	0.345272
0.469718	0.347828
0.470882	0.35038
0.472047	0.352929
0.473212	0.355473
0.474376	0.358014
0.475541	0.360549
0.476706	0.363079
0.477871	0.365605
0.479035	0.368124
0.4802	0.370638
0.481365	0.373145
0.482529	0.375646
0.483694	0.378141
0.484859	0.380628
0.486024	0.383108
0.487188	0.385581
0.488353	0.388046
0.489518	0.390502
0.490682	0.392951
0.491847	0.395391
0.493012	0.397823
0.494176	0.400245
0.495341	0.402659
0.496506	0.405063
0.497671	0.407457
0.498835	0.409842
0.5	0.412217
0.516667	0.445269
0.533333	0.476073
0.55	0.503887
0.566667	0.528597
0.583333	0.550246
0.6	0.568994
0.616667	0.585031
0.633333	0.598633
0.65	0.610116
0.666667	0.619744
0.683333	0.627757
0.7	0.634377
0.716667	0.639798
0.733333	0.644193
0.75	0.647709
0.766667	0.650474
0.783333	0.652599
0.8	0.654179
0.816667	0.655295
0.833333	0.656017
0.85	0.656406
0.866667	0.656514
0.883333	0.656384
0.9	0.656054
0.916667	0.655556
0.933333	0.654917
0.95	0.654161
0.966667	0.653308
0.983333	0.652374
1	0.651375
1.01667	0.65032
1.03333	0.649223
1.05	0.648091
1.06667	0.646934
1.08333	0.645758
1.1	0.644569
1.11667	0.643373
1.13333	0.642173
1.15	0.640973
1.16667	0.639776
1.18333	0.638586
1.2	0.637404
1.21667	0.636232
1.23333	0.635072
1.25	0.633925
1.26667	0.632792
1.28333	0.631674
1.3	0.630573
1.31667	0.629487
1.33333	0.628419
1.35	0.627368
1.36667	0.626335
1.38333	0.625319
1.4	0.624321
1.41667	0.623341
1.43333	0.622379
1.45	0.621435
1.46667	0.620508
1.48333	0.619598
1.5	0.618705
1.51667	0.617823
1.53333	0.616957
1.55	0.616109
1.56667	0.615277
1.58333	0.614461
1.6	0.613662
1.61667	0.612879
1.63333	0.612111
1.65	0.611358
1.66667	0.610621
1.68333	0.609898
1.7	0.60919
1.71667	0.608496
1.73333	0.607816
1.75	0.607149
1.76667	0.606496
1.78333	0.605856
1.8	0.605228
1.81667	0.604613
1.83333	0.60401
1.85	0.603419
1.86667	0.60284
1.88333	0.602272
1.9	0.601715
1.91667	0.601169
1.93333	0.600633
1.95	0.600108
1.96667	0.599593
1.98333	0.599087
2	0.598594
2.01667	0.598104
2.03333	0.597623
2.05	0.59715
2.06667	0.596687
2.08333	0.596232
2.1	0.595785
2.11667	0.595346
2.13333	0.594915
2.15	0.594491
2.16667	0.594075
2.18333	0.593666
2.2	0.593264
2.21667	0.592869
2.23333	0.592481
2.25	0.592099
2.26667	0.591724
2.28333	0.591354
2.3	0.590991
2.31667	0.590633
2.33333	0.590281
2.35	0.589935
2.36667	0.589594
2.38333	0.589258
2.4	0.588927
2.41667	0.5886
2.43333	0.588279
2.45	0.587962
2.46667	0.587649
2.48333	0.587341
2.5	0.587037
2.51667	0.586737
2.53333	0.586441
2.55	0.586148
2.56667	0.58586
2.58333	0.585574
2.6	0.585292
2.61667	0.585013
2.63333	0.584738
2.65	0.584465
2.66667	0.584195
2.68333	0.583928
2.7	0.583664
2.71667	0.583402
2.73333	0.583142
2.75	0.582885
2.76667	0.58263
2.78333	0.582378
2.8	0.582127
2.81667	0.581878
2.83333	0.581631
2.85	0.581385
2.86667	0.581142
2.88333	0.580899
2.9	0.580659
2.91667	0.580419
2.93333	0.580181
2.95	0.579944
2.96667	0.579708
2.98333	0.579473
3	0.579238
3.08065	0.578097
3.16129	0.576968
3.24194	0.575844
3.32258	0.574717
3.40323	0.573579
3.48387	0.572425
3.56452	0.571247
3.64516	0.57004
3.72581	0.568798
3.80645	0.567515
3.8871	0.566186
3.96774	0.564807
4.04839	0.563388
4.12903	0.561913
4.20968	0.560373
4.29032	0.558764
4.37097	0.557082
4.45161	0.555325
4.53226	0.553489
4.6129	0.551574
4.69355	0.549576
4.77419	0.547495
4.85484	0.545329
4.93548	0.543078
5.01613	0.540744
5.09677	0.538325
5.17742	0.535813
5.25806	0.533208
5.33871	0.530511
5.41935	0.527723
5.5	0.524845
5.58065	0.521878
5.66129	0.518826
5.74194	0.515691
5.82258	0.512475
5.90323	0.509181
5.98387	0.505812
6.06452	0.502371
6.14516	0.498863
6.22581	0.495289
6.30645	0.491654
6.3871	0.487962
6.46774	0.484216
6.54839	0.480419
6.62903	0.476576
6.70968	0.472691
6.79032	0.468767
6.87097	0.464807
6.95161	0.460816
7.03226	0.456796
7.1129	0.452753
7.19355	0.448689
7.27419	0.444607
7.35484	0.440511
7.43548	0.436404
7.51613	0.432172
7.59677	0.427506
7.67742	0.42285
7.75806	0.418212
7.83871	0.413598
7.91935	0.409016
8	0.404471
8.08065	0.399969
8.16129	0.395516
8.24194	0.391116
8.32258	0.386774
8.40323	0.382495
8.48387	0.378283
8.56452	0.37414
8.64516	0.370071
8.72581	0.366079
8.80645	0.362165
8.8871	0.358334
8.96774	0.354585
9.04839	0.350923
9.12903	0.347347
9.20968	0.34386
9.29032	0.340463
9.37097	0.337155
9.45161	0.33394
9.53226	0.330816
9.6129	0.327784
9.69355	0.324844
9.77419	0.321997
9.85484	0.319243
9.93548	0.316581
10.0161	0.314197
10.0968	0.31256
10.1774	0.310888
10.2581	0.309172
10.3387	0.307401
10.4194	0.305568
10.5	0.303665
10.5806	0.301684
10.6613	0.299618
10.7419	0.297462
10.8226	0.29521
10.9032	0.292857
10.9839	0.290399
11.0645	0.287833
11.1452	0.285157
11.2258	0.28237
11.3065	0.279469
11.3871	0.276456
11.4677	0.273332
11.5484	0.270098
11.629	0.266758
11.7097	0.263316
11.7903	0.259776
11.871	0.256146
11.9516	0.252432
12.0323	0.248643
12.1129	0.244788
12.1935	0.240879
12.2742	0.236927
12.3548	0.232945
12.4355	0.228948
12.5161	0.224952
12.5968	0.220973
12.6774	0.217028
12.7581	0.213138
12.8387	0.209322
12.9194	0.205602
13	0.201999
