//E[eV]	TM forward resonance factor
10.85	0.294421
10.8543	0.294297
10.8585	0.294173
10.8628	0.294048
10.8671	0.293924
10.8714	0.293799
10.8756	0.293673
10.8799	0.293548
10.8842	0.293422
10.8884	0.293296
10.8927	0.293169
10.897	0.293042
10.9013	0.292915
10.9055	0.292788
10.9098	0.29266
10.9141	0.292532
10.9183	0.292404
10.9226	0.292275
10.9269	0.292147
10.9312	0.292017
10.9354	0.291888
10.9397	0.291758
10.944	0.291628
10.9482	0.291498
10.9525	0.291367
10.9568	0.291236
10.9611	0.291105
10.9653	0.290973
10.9696	0.290842
10.9739	0.290709
10.9781	0.290577
10.9824	0.290444
10.9867	0.290311
10.991	0.290178
10.9952	0.290044
10.9995	0.28991
11.0038	0.289776
11.008	0.289641
11.0123	0.289506
11.0166	0.289371
11.0209	0.289236
11.0251	0.2891
11.0294	0.288964
11.0337	0.288828
11.0379	0.288691
11.0422	0.288554
11.0465	0.288416
11.0508	0.288279
11.055	0.288141
11.0593	0.288003
11.0636	0.287864
11.0678	0.287725
11.0721	0.287586
11.0764	0.287446
11.0807	0.287307
11.0849	0.287167
11.0892	0.287026
11.0935	0.286885
11.0977	0.286744
11.102	0.286603
11.1063	0.286461
11.1106	0.286319
11.1148	0.286177
11.1191	0.286034
11.1234	0.285891
11.1276	0.285748
11.1319	0.285605
11.1362	0.285461
11.1405	0.285317
11.1447	0.285172
11.149	0.285027
11.1533	0.284882
11.1575	0.284737
11.1618	0.284591
11.1661	0.284445
11.1704	0.284299
11.1746	0.284152
11.1789	0.284005
11.1832	0.283858
11.1874	0.28371
11.1917	0.283562
11.196	0.283414
11.2003	0.283265
11.2045	0.283116
11.2088	0.282967
11.2131	0.282817
11.2173	0.282668
11.2216	0.282517
11.2259	0.282367
11.2302	0.282216
11.2344	0.282065
11.2387	0.281914
11.243	0.281762
11.2472	0.28161
11.2515	0.281457
11.2558	0.281305
11.2601	0.281152
11.2643	0.280998
11.2686	0.280845
11.2729	0.280691
11.2771	0.280536
11.2814	0.280382
11.2857	0.280227
11.2899	0.280072
11.2942	0.279916
11.2985	0.27976
11.3028	0.279604
11.307	0.279448
11.3113	0.279291
11.3156	0.279134
11.3198	0.278976
11.3241	0.278819
11.3284	0.27866
11.3327	0.278502
11.3369	0.278343
11.3412	0.278184
11.3455	0.278025
11.3497	0.277865
11.354	0.277705
11.3583	0.277545
11.3626	0.277385
11.3668	0.277224
11.3711	0.277062
11.3754	0.276901
11.3796	0.276739
11.3839	0.276577
11.3882	0.276414
11.3925	0.276252
11.3967	0.276089
11.401	0.275925
11.4053	0.275761
11.4095	0.275597
11.4138	0.275433
11.4181	0.275268
11.4224	0.275103
11.4266	0.274938
11.4309	0.274773
11.4352	0.274607
11.4394	0.27444
11.4437	0.274274
11.448	0.274107
11.4523	0.27394
11.4565	0.273773
11.4608	0.273605
11.4651	0.273437
11.4693	0.273268
11.4736	0.2731
11.4779	0.272931
11.4822	0.272761
11.4864	0.272592
11.4907	0.272422
11.495	0.272252
11.4992	0.272081
11.5035	0.27191
11.5078	0.271739
11.5121	0.271568
11.5163	0.271396
11.5206	0.271224
11.5249	0.271052
11.5291	0.270879
11.5334	0.270706
11.5377	0.270533
11.542	0.27036
11.5462	0.270186
11.5505	0.270012
11.5548	0.269837
11.559	0.269663
11.5633	0.269488
11.5676	0.269312
11.5719	0.269137
11.5761	0.268961
11.5804	0.268785
11.5847	0.268608
11.5889	0.268431
11.5932	0.268254
11.5975	0.268077
11.6018	0.267899
11.606	0.267721
11.6103	0.267543
11.6146	0.267364
11.6188	0.267186
11.6231	0.267006
11.6274	0.266827
11.6317	0.266647
11.6359	0.266467
11.6402	0.266287
11.6445	0.266107
11.6487	0.265926
11.653	0.265745
11.6573	0.265563
11.6616	0.265382
11.6658	0.2652
11.6701	0.265017
11.6744	0.264835
11.6786	0.264652
11.6829	0.264469
11.6872	0.264286
11.6915	0.264102
11.6957	0.263918
11.7	0.263734
