//E[eV]	Back scatter elastic probability
0.005	0.446961
0.00616471	0.440375
0.00732941	0.434245
0.00849412	0.428465
0.00965882	0.422961
0.0108235	0.417683
0.0119882	0.412594
0.0131529	0.407666
0.0143176	0.402876
0.0154824	0.398207
0.0166471	0.393645
0.0178118	0.389178
0.0189765	0.384796
0.0201412	0.380491
0.0213059	0.376256
0.0224706	0.372085
0.0236353	0.367972
0.0248	0.363913
0.0259647	0.359904
0.0271294	0.355942
0.0282941	0.352022
0.0294588	0.348143
0.0306235	0.344302
0.0317882	0.340496
0.0329529	0.336724
0.0341176	0.332984
0.0352824	0.329274
0.0364471	0.325592
0.0376118	0.321937
0.0387765	0.318309
0.0399412	0.314705
0.0411059	0.311125
0.0422706	0.307568
0.0434353	0.304032
0.0446	0.300518
0.0457647	0.297025
0.0469294	0.293551
0.0480941	0.290096
0.0492588	0.28666
0.0504235	0.283242
0.0515882	0.279842
0.0527529	0.276459
0.0539176	0.273093
0.0550824	0.269744
0.0562471	0.266411
0.0574118	0.263094
0.0585765	0.259792
0.0597412	0.256506
0.0609059	0.253236
0.0620706	0.24998
0.0632353	0.24674
0.0644	0.243514
0.0655647	0.240303
0.0667294	0.237107
0.0678941	0.233926
0.0690588	0.230759
0.0702235	0.227606
0.0713882	0.224469
0.0725529	0.221345
0.0737176	0.218237
0.0748824	0.215142
0.0760471	0.212063
0.0772118	0.208998
0.0783765	0.205948
0.0795412	0.202912
0.0807059	0.199892
0.0818706	0.196887
0.0830353	0.193896
0.0842	0.190921
0.0853647	0.187962
0.0865294	0.185018
0.0876941	0.18209
0.0888588	0.179177
0.0900235	0.176281
0.0911882	0.1734
0.0923529	0.170537
0.0935176	0.167689
0.0946824	0.164859
0.0958471	0.162046
0.0970118	0.159249
0.0981765	0.156471
0.0993412	0.15371
0.100506	0.150967
0.101671	0.148242
0.102835	0.145535
0.104	0.142848
0.105165	0.140179
0.106329	0.13753
0.107494	0.1349
0.108659	0.13229
0.109824	0.1297
0.110988	0.12713
0.112153	0.124582
0.113318	0.122054
0.114482	0.119547
0.115647	0.117063
0.116812	0.1146
0.117976	0.112159
0.119141	0.109741
0.120306	0.107346
0.121471	0.104975
0.122635	0.102627
0.1238	0.100303
0.124965	0.0980032
0.126129	0.0957282
0.127294	0.0934783
0.128459	0.0912537
0.129624	0.0890549
0.130788	0.0868823
0.131953	0.0847361
0.133118	0.0826167
0.134282	0.0805246
0.135447	0.07846
0.136612	0.0764234
0.137776	0.0744151
0.138941	0.0724355
0.140106	0.070485
0.141271	0.068564
0.142435	0.0666727
0.1436	0.0648117
0.144765	0.0629812
0.145929	0.0611817
0.147094	0.0594136
0.148259	0.0576771
0.149424	0.0559727
0.150588	0.0543008
0.151753	0.0526617
0.152918	0.0510558
0.154082	0.0494834
0.155247	0.047945
0.156412	0.0464409
0.157576	0.0449714
0.158741	0.043537
0.159906	0.042138
0.161071	0.0407746
0.162235	0.0394474
0.1634	0.0381566
0.164565	0.0369026
0.165729	0.0356857
0.166894	0.0345062
0.168059	0.0333646
0.169224	0.032261
0.170388	0.0311959
0.171553	0.0301695
0.172718	0.0291822
0.173882	0.0282343
0.175047	0.027326
0.176212	0.0264577
0.177376	0.0256296
0.178541	0.0248421
0.179706	0.0240954
0.180871	0.0233897
0.182035	0.0227254
0.1832	0.0221026
0.184365	0.0215217
0.185529	0.0209828
0.186694	0.0204862
0.187859	0.0200321
0.189024	0.0196208
0.190188	0.0192523
0.191353	0.018927
0.192518	0.018645
0.193682	0.0184064
0.194847	0.0182115
0.196012	0.0180603
0.197176	0.0179531
0.198341	0.0178899
0.199506	0.017871
0.200671	0.0178963
0.201835	0.017966
0.203	0.0180803
0.204165	0.0182391
0.205329	0.0184425
0.206494	0.0186907
0.207659	0.0189836
0.208824	0.0193213
0.209988	0.0197038
0.211153	0.0201311
0.212318	0.0206032
0.213482	0.0211201
0.214647	0.0216819
0.215812	0.0222883
0.216976	0.0229394
0.218141	0.0236352
0.219306	0.0243755
0.220471	0.0251603
0.221635	0.0259895
0.2228	0.0268629
0.223965	0.0277805
0.225129	0.028742
0.226294	0.0297474
0.227459	0.0307965
0.228624	0.0318892
0.229788	0.0330251
0.230953	0.0342042
0.232118	0.0354262
0.233282	0.0366908
0.234447	0.037998
0.235612	0.0393474
0.236776	0.0407387
0.237941	0.0421717
0.239106	0.0436461
0.240271	0.0591886
0.241435	0.0615759
0.2426	0.0640244
0.243765	0.0665336
0.244929	0.0691029
0.246094	0.0717316
0.247259	0.0744191
0.248424	0.0771647
0.249588	0.0799675
0.250753	0.0828277
0.251918	0.0857434
0.253082	0.088714
0.254247	0.0917388
0.255412	0.0948169
0.256576	0.0979472
0.257741	0.101129
0.258906	0.104361
0.260071	0.107643
0.261235	0.110973
0.2624	0.11435
0.263565	0.117774
0.264729	0.121243
0.265894	0.124756
0.267059	0.128313
0.268224	0.131911
0.269388	0.13555
0.270553	0.139229
0.271718	0.142946
0.272882	0.1467
0.274047	0.15049
0.275212	0.154315
0.276376	0.158174
0.277541	0.162064
0.278706	0.165986
0.279871	0.169938
0.281035	0.173918
0.2822	0.177926
0.283365	0.181959
0.284529	0.186017
0.285694	0.190099
0.286859	0.194202
0.288024	0.198327
0.289188	0.202471
0.290353	0.206636
0.291518	0.21082
0.292682	0.215019
0.293847	0.219233
0.295012	0.223459
0.296176	0.227697
0.297341	0.231945
0.298506	0.236201
0.299671	0.240465
0.300835	0.244735
0.302	0.24901
0.303165	0.253289
0.304329	0.25757
0.305494	0.261852
0.306659	0.266134
0.307824	0.270414
0.308988	0.274692
0.310153	0.278965
0.311318	0.283229
0.312482	0.287488
0.313647	0.291741
0.314812	0.295988
0.315976	0.300227
