//E[eV]	Back scatter resonance probability
10.85	0.327828
10.8543	0.327784
10.8585	0.32774
10.8628	0.327695
10.8671	0.327651
10.8714	0.327606
10.8756	0.327561
10.8799	0.327516
10.8842	0.32747
10.8884	0.327425
10.8927	0.327379
10.897	0.327333
10.9013	0.327287
10.9055	0.327241
10.9098	0.327194
10.9141	0.327148
10.9183	0.327101
10.9226	0.327054
10.9269	0.327007
10.9312	0.326959
10.9354	0.326912
10.9397	0.326864
10.944	0.326816
10.9482	0.326767
10.9525	0.326719
10.9568	0.32667
10.9611	0.326621
10.9653	0.326572
10.9696	0.326523
10.9739	0.326474
10.9781	0.326424
10.9824	0.326374
10.9867	0.326324
10.991	0.326274
10.9952	0.326223
10.9995	0.326173
11.0038	0.326122
11.008	0.32607
11.0123	0.326019
11.0166	0.325968
11.0209	0.325916
11.0251	0.325864
11.0294	0.325812
11.0337	0.325759
11.0379	0.325707
11.0422	0.325654
11.0465	0.325601
11.0508	0.325547
11.055	0.325494
11.0593	0.32544
11.0636	0.325386
11.0678	0.325332
11.0721	0.325277
11.0764	0.325223
11.0807	0.325168
11.0849	0.325113
11.0892	0.325057
11.0935	0.325002
11.0977	0.324946
11.102	0.32489
11.1063	0.324834
11.1106	0.324777
11.1148	0.324721
11.1191	0.324664
11.1234	0.324607
11.1276	0.324549
11.1319	0.324492
11.1362	0.324434
11.1405	0.324376
11.1447	0.324317
11.149	0.324259
11.1533	0.3242
11.1575	0.324141
11.1618	0.324081
11.1661	0.324022
11.1704	0.323962
11.1746	0.323902
11.1789	0.323842
11.1832	0.323781
11.1874	0.32372
11.1917	0.323659
11.196	0.323598
11.2003	0.323537
11.2045	0.323475
11.2088	0.323413
11.2131	0.32335
11.2173	0.323288
11.2216	0.323225
11.2259	0.323162
11.2302	0.323099
11.2344	0.323035
11.2387	0.322971
11.243	0.322907
11.2472	0.322843
11.2515	0.322778
11.2558	0.322714
11.2601	0.322648
11.2643	0.322583
11.2686	0.322517
11.2729	0.322452
11.2771	0.322385
11.2814	0.322319
11.2857	0.322252
11.2899	0.322185
11.2942	0.322118
11.2985	0.322051
11.3028	0.321983
11.307	0.321915
11.3113	0.321846
11.3156	0.321778
11.3198	0.321709
11.3241	0.32164
11.3284	0.32157
11.3327	0.321501
11.3369	0.321431
11.3412	0.321361
11.3455	0.32129
11.3497	0.321219
11.354	0.321148
11.3583	0.321077
11.3626	0.321005
11.3668	0.320933
11.3711	0.320861
11.3754	0.320789
11.3796	0.320716
11.3839	0.320643
11.3882	0.32057
11.3925	0.320496
11.3967	0.320422
11.401	0.320348
11.4053	0.320273
11.4095	0.320199
11.4138	0.320123
11.4181	0.320048
11.4224	0.319972
11.4266	0.319897
11.4309	0.31982
11.4352	0.319744
11.4394	0.319667
11.4437	0.31959
11.448	0.319512
11.4523	0.319435
11.4565	0.319357
11.4608	0.319278
11.4651	0.3192
11.4693	0.319121
11.4736	0.319041
11.4779	0.318962
11.4822	0.318882
11.4864	0.318802
11.4907	0.318721
11.495	0.318641
11.4992	0.31856
11.5035	0.318478
11.5078	0.318397
11.5121	0.318315
11.5163	0.318232
11.5206	0.31815
11.5249	0.318067
11.5291	0.317983
11.5334	0.3179
11.5377	0.317816
11.542	0.317732
11.5462	0.317647
11.5505	0.317563
11.5548	0.317477
11.559	0.317392
11.5633	0.317306
11.5676	0.31722
11.5719	0.317134
11.5761	0.317047
11.5804	0.31696
11.5847	0.316872
11.5889	0.316785
11.5932	0.316697
11.5975	0.316608
11.6018	0.31652
11.606	0.316431
11.6103	0.316341
11.6146	0.316252
11.6188	0.316161
11.6231	0.316071
11.6274	0.31598
11.6317	0.315889
11.6359	0.315798
11.6402	0.315706
11.6445	0.315614
11.6487	0.315522
11.653	0.315429
11.6573	0.315336
11.6616	0.315243
11.6658	0.315149
11.6701	0.315055
11.6744	0.314961
11.6786	0.314866
11.6829	0.314771
11.6872	0.314676
11.6915	0.31458
11.6957	0.314484
11.7	0.314387
