//E[eV]	XS elastic [1e-20 m^2]
0.005	4.60207
0.00616471	4.41491
0.00732941	4.24983
0.00849412	4.1017
0.00965882	3.96708
0.0108235	3.84357
0.0119882	3.72938
0.0131529	3.62314
0.0143176	3.5238
0.0154824	3.4305
0.0166471	3.34255
0.0178118	3.25938
0.0189765	3.18051
0.0201412	3.10552
0.0213059	3.03407
0.0224706	2.96586
0.0236353	2.90062
0.0248	2.83813
0.0259647	2.77817
0.0271294	2.72057
0.0282941	2.66517
0.0294588	2.61183
0.0306235	2.5604
0.0317882	2.51078
0.0329529	2.46285
0.0341176	2.41653
0.0352824	2.37171
0.0364471	2.32833
0.0376118	2.28629
0.0387765	2.24555
0.0399412	2.20602
0.0411059	2.16765
0.0422706	2.13039
0.0434353	2.09419
0.0446	2.05899
0.0457647	2.02476
0.0469294	1.99145
0.0480941	1.95902
0.0492588	1.92744
0.0504235	1.89668
0.0515882	1.86669
0.0527529	1.83745
0.0539176	1.80893
0.0550824	1.78111
0.0562471	1.75396
0.0574118	1.72745
0.0585765	1.70157
0.0597412	1.67628
0.0609059	1.65158
0.0620706	1.62743
0.0632353	1.60383
0.0644	1.58075
0.0655647	1.55818
0.0667294	1.53609
0.0678941	1.51449
0.0690588	1.49334
0.0702235	1.47264
0.0713882	1.45238
0.0725529	1.43253
0.0737176	1.4131
0.0748824	1.39406
0.0760471	1.3754
0.0772118	1.35712
0.0783765	1.3392
0.0795412	1.32164
0.0807059	1.30442
0.0818706	1.28754
0.0830353	1.27099
0.0842	1.25475
0.0853647	1.23882
0.0865294	1.22319
0.0876941	1.20786
0.0888588	1.19281
0.0900235	1.17804
0.0911882	1.16355
0.0923529	1.14932
0.0935176	1.13535
0.0946824	1.12164
0.0958471	1.10817
0.0970118	1.09494
0.0981765	1.08195
0.0993412	1.06919
0.100506	1.05666
0.101671	1.04435
0.102835	1.03225
0.104	1.02036
0.105165	1.00868
0.106329	0.997202
0.107494	0.985919
0.108659	0.97483
0.109824	0.96393
0.110988	0.953215
0.112153	0.942681
0.113318	0.932324
0.114482	0.922141
0.115647	0.912128
0.116812	0.902283
0.117976	0.8926
0.119141	0.883078
0.120306	0.873712
0.121471	0.864501
0.122635	0.855441
0.1238	0.846528
0.124965	0.837761
0.126129	0.829136
0.127294	0.820651
0.128459	0.812303
0.129624	0.80409
0.130788	0.796009
0.131953	0.788057
0.133118	0.780232
0.134282	0.772533
0.135447	0.764956
0.136612	0.7575
0.137776	0.750162
0.138941	0.74294
0.140106	0.735833
0.141271	0.728837
0.142435	0.721952
0.1436	0.715175
0.144765	0.708505
0.145929	0.70194
0.147094	0.695477
0.148259	0.689116
0.149424	0.682854
0.150588	0.676689
0.151753	0.670621
0.152918	0.664648
0.154082	0.658768
0.155247	0.652979
0.156412	0.64728
0.157576	0.64167
0.158741	0.636147
0.159906	0.63071
0.161071	0.625357
0.162235	0.620088
0.1634	0.6149
0.164565	0.609793
0.165729	0.604765
0.166894	0.599815
0.168059	0.594942
0.169224	0.590144
0.170388	0.585421
0.171553	0.580772
0.172718	0.576195
0.173882	0.571689
0.175047	0.567253
0.176212	0.562886
0.177376	0.558587
0.178541	0.554356
0.179706	0.55019
0.180871	0.54609
0.182035	0.542054
0.1832	0.538081
0.184365	0.53417
0.185529	0.530321
0.186694	0.526533
0.187859	0.522804
0.189024	0.519134
0.190188	0.515523
0.191353	0.511968
0.192518	0.50847
0.193682	0.505028
0.194847	0.501641
0.196012	0.498307
0.197176	0.495028
0.198341	0.4918
0.199506	0.488625
0.200671	0.485501
0.201835	0.482428
0.203	0.479405
0.204165	0.476431
0.205329	0.473505
0.206494	0.470628
0.207659	0.467798
0.208824	0.465014
0.209988	0.462277
0.211153	0.459585
0.212318	0.456938
0.213482	0.454335
0.214647	0.451776
0.215812	0.449261
0.216976	0.446788
0.218141	0.444357
0.219306	0.441967
0.220471	0.439619
0.221635	0.437312
0.2228	0.435044
0.223965	0.432816
0.225129	0.430627
0.226294	0.428476
0.227459	0.426364
0.228624	0.424289
0.229788	0.422252
0.230953	0.420251
0.232118	0.418286
0.233282	0.416358
0.234447	0.414464
0.235612	0.412606
0.236776	0.410782
0.237941	0.408993
0.239106	0.407237
0.240271	0.405515
0.241435	0.403825
0.2426	0.402169
0.243765	0.400544
0.244929	0.398951
0.246094	0.39739
0.247259	0.39586
0.248424	0.39436
0.249588	0.392891
0.250753	0.391452
0.251918	0.390043
0.253082	0.388663
0.254247	0.387312
0.255412	0.38599
0.256576	0.384696
0.257741	0.38343
0.258906	0.382192
0.260071	0.380982
0.261235	0.379799
0.2624	0.378642
0.263565	0.377512
0.264729	0.376409
0.265894	0.375331
0.267059	0.374279
0.268224	0.373253
0.269388	0.372251
0.270553	0.371275
0.271718	0.370323
0.272882	0.369396
0.274047	0.368492
0.275212	0.367613
0.276376	0.366757
0.277541	0.365925
0.278706	0.365115
0.279871	0.364329
0.281035	0.363565
0.2822	0.362823
0.283365	0.362104
0.284529	0.361407
0.285694	0.360731
0.286859	0.360077
0.288024	0.359444
