//E[eV]	XS resonance [1e-20 m^2]
10.85	-0.0475671
10.8543	-0.0482953
10.8585	-0.0490474
10.8628	-0.0498246
10.8671	-0.0506284
10.8714	-0.05146
10.8756	-0.052321
10.8799	-0.0532129
10.8842	-0.0541377
10.8884	-0.055097
10.8927	-0.0560931
10.897	-0.0571279
10.9013	-0.058204
10.9055	-0.059324
10.9098	-0.0604905
10.9141	-0.0617067
10.9183	-0.0629759
10.9226	-0.0643018
10.9269	-0.0656882
10.9312	-0.0671396
10.9354	-0.0686608
10.9397	-0.0702571
10.944	-0.0719343
10.9482	-0.0736989
10.9525	-0.0755581
10.9568	-0.0775201
10.9611	-0.0795937
10.9653	-0.0817891
10.9696	-0.0841176
10.9739	-0.0865922
10.9781	-0.0892273
10.9824	-0.0920396
10.9867	-0.0950481
10.991	-0.0982747
10.9952	-0.101745
10.9995	-0.105488
11.0038	-0.109538
11.008	-0.113936
11.0123	-0.11873
11.0166	-0.123977
11.0209	-0.129747
11.0251	-0.136124
11.0294	-0.143212
11.0337	-0.15114
11.0379	-0.16007
11.0422	-0.170209
11.0465	-0.181828
11.0508	-0.195282
11.055	-0.211054
11.0593	-0.229809
11.0636	-0.252499
11.0678	-0.280529
11.0721	-0.316062
11.0764	-0.362615
11.0807	-0.426307
11.0849	-0.518791
11.0892	-0.665272
11.0935	-0.931628
11.0977	-1.55043
11.102	-2.14665
11.1063	2.82206
11.1106	1.23602
11.1148	0.772632
11.1191	0.555829
11.1234	0.430394
11.1276	0.348537
11.1319	0.290785
11.1362	0.247735
11.1405	0.214294
11.1447	0.187464
11.149	0.165362
11.1533	0.146746
11.1575	0.13076
11.1618	0.116795
11.1661	0.104402
11.1704	0.0932398
11.1746	0.0830437
11.1789	0.0736003
11.1832	0.0647332
11.1874	0.0562907
11.1917	0.0481373
11.196	0.0401466
11.2003	0.0321941
11.2045	0.024151
11.2088	0.0158763
11.2131	0.00720769
11.2173	-0.00205151
11.2216	-0.0121505
11.2259	-0.0234195
11.2302	-0.0363148
11.2344	-0.051496
11.2387	-0.0699638
11.243	-0.093325
11.2472	-0.124347
11.2515	-0.168243
11.2558	-0.236147
11.2601	-0.356659
11.2643	-0.628777
11.2686	-1.29112
11.2729	1.57646
11.2771	0.684685
11.2814	0.443866
11.2857	0.334068
11.2899	0.271203
11.2942	0.230352
11.2985	0.201574
11.3028	0.180132
11.307	0.163483
11.3113	0.150142
11.3156	0.139181
11.3198	0.129993
11.3241	0.122162
11.3284	0.115393
11.3327	0.109473
11.3369	0.104243
11.3412	0.0995819
11.3455	0.0953951
11.3497	0.0916092
11.354	0.0881652
11.3583	0.0850153
11.3626	0.0821206
11.3668	0.0794489
11.3711	0.0769734
11.3754	0.0746716
11.3796	0.0725242
11.3839	0.070515
11.3882	0.06863
11.3925	0.0668571
11.3967	0.0651857
11.401	0.0636066
11.4053	0.0621119
11.4095	0.0606943
11.4138	0.0593475
11.4181	0.058066
11.4224	0.0568447
11.4266	0.0556791
11.4309	0.0545653
11.4352	0.0534996
11.4394	0.0524787
11.4437	0.0514996
11.448	0.0505597
11.4523	0.0496564
11.4565	0.0487875
11.4608	0.0479509
11.4651	0.0471447
11.4693	0.0463673
11.4736	0.0456169
11.4779	0.0448921
11.4822	0.0441916
11.4864	0.043514
11.4907	0.0428582
11.495	0.042223
11.4992	0.0416075
11.5035	0.0410107
11.5078	0.0404318
11.5121	0.0398698
11.5163	0.039324
11.5206	0.0387937
11.5249	0.0382782
11.5291	0.0377769
11.5334	0.0372891
11.5377	0.0368142
11.542	0.0363518
11.5462	0.0359014
11.5505	0.0354624
11.5548	0.0350344
11.559	0.034617
11.5633	0.0342097
11.5676	0.0338123
11.5719	0.0334242
11.5761	0.0330453
11.5804	0.0326751
11.5847	0.0323133
11.5889	0.0319597
11.5932	0.0316139
11.5975	0.0312758
11.6018	0.0309449
11.606	0.0306212
11.6103	0.0303043
11.6146	0.0299941
11.6188	0.0296902
11.6231	0.0293926
11.6274	0.029101
11.6317	0.0288152
11.6359	0.0285351
11.6402	0.0282605
11.6445	0.0279912
11.6487	0.0277271
11.653	0.0274679
11.6573	0.0272137
11.6616	0.0269641
11.6658	0.0267192
11.6701	0.0264787
11.6744	0.0262425
11.6786	0.0260106
11.6829	0.0257827
11.6872	0.0255589
11.6915	0.025339
11.6957	0.0251228
11.7	0.0249103
